#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AA2E82
#Date Time: 2024-10-03 09:52:03.449
#Start: 10 Hz
#Stop: 500000 Hz
#Steps: 51
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.47859 V
#Offset: 1.25193e-06 V
#Relative: no
#Channel: Channel 2
#Range: 5.48027 V
#Offset: -0.000262441 V
#Relative: yes
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: Rdy
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,-40.08956368518192,49.23250870495505,168.3846059269145
12.41593413629177,-40.10340421296854,49.07726386020571,166.2912118614139
15.41554204767356,-40.08118741436026,48.86179524146321,163.7493390441985
19.13983547391513,-40.07971657882108,48.69042089766297,160.9788273028352
23.76389366235905,-40.05553022857956,48.54958533793786,157.8476983984648
29.5050938533692,-40.07190955386108,48.47841623063423,154.2580613394825
36.63333019685392,-40.03876050286534,48.36943865138949,150.2008128032728
45.48370149171666,-40.05227842727395,48.2880138289092,146.1783847192049
56.47226419959105,-40.04523161168759,48.11019660452234,142.4247093514034
70.11559128293892,-40.00406093432049,47.78191998052951,139.0826959624994
87.0550563296124,-39.99058550079963,47.26074612461933,136.0777766787849
108.0869845619638,-39.97513453731894,46.24015527621324,133.7088812754432
134.2000881311729,-39.98307448606105,45.12460708378082,131.3083629718534
166.6219455321193,-39.97643486058796,43.91421752014551,129.3551518644227
206.8767101387591,-39.97426271678376,42.67811684943518,127.4695389420213
256.8567607415556,-39.97798659984934,41.34398162586755,125.6796447872455
318.9116623828411,-39.97292903309538,39.97284397307205,123.8836696449642
395.9586195440673,-39.95910322273832,38.54380027352898,122.1417000075354
491.6196140956152,-39.94388727313302,37.01300340677158,120.6642514900731
610.3916748720334,-39.94036741847417,35.43489721913803,118.9686730923583
757.8582832551996,-39.93642590115972,33.79006461418197,117.3637052062016
940.95185295397,-39.91861709010259,32.06317430317518,115.3468961074319
1168.279623169819,-39.93657658936863,30.25312682207455,113.3369807297089
1450.528285404826,-39.93351598966206,28.34926317986847,111.2986346130373
1800.966365441455,-39.93802171640611,26.43516000110537,108.8559833878306
2236.06797749979,-39.87257054783277,24.4094493168787,106.3193415246629
2776.287273290857,-39.9411233378369,22.54913533852548,102.9518846998159
3447.019992860434,-39.92816206666104,20.61420020102954,100.3180935028296
4279.797319783613,-39.93153080229646,18.74005225876832,97.44373313411734
5313.768163911133,-39.93028482107706,16.88029828027897,94.43089004995198
6597.539553864471,-39.87700892144876,14.98212855127718,91.29709913436922
8191.46165623611,-39.90374980313515,13.18654425152515,88.31849545358187
10170.46484037871,-39.9075434366554,11.39566011210916,85.61715667536913
12627.58215936133,-39.86327600530562,9.569023018618712,82.58560089014239
15678.32283912434,-39.86119692424728,7.890701191467321,79.35512753669312
19466.10237380866,-39.85081130732382,6.092989427872427,75.00086053985865
24168.98449635213,-39.84818982395333,4.499246235572222,70.86046152527588
30008.05196477651,-39.82295266704064,2.831874415756741,65.63127795976651
37257.79967530863,-39.78506377340302,1.44568938183653,61.46019988750442
46259.03868317851,-39.77223856341103,-0.04296686185753799,55.80504551020703
57434.91774985178,-39.60050379182809,-1.045394489407328,46.01578639532462
71310.81559054944,-39.8247681363902,-1.386802336993964,34.65844003139652
88539.03895775105,-40.45582640965391,-1.158393722449574,24.66481534406184
109929.4876190009,-39.61438201387258,-2.349686134455196,39.33518701211747
136487.7277913817,-39.2407987760306,-3.9711877650203,40.02324883825307
169462.2638669916,-38.66717055619343,-5.264196241460819,25.31836266251114
210403.2306759465,-38.55043754367317,-4.29228236721748,14.24435697393046
261235.2654135555,-39.67734947769652,-5.137045636972527,10.95576797072474
324347.9849451406,-39.67048923846404,-4.245335687188383,2.577952596661987
402708.3218317822,-39.77343413947701,-3.654387938525287,16.23309273284501
500000,-40.66664650590489,-4.141504102871049,-10.38386702537372
