#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B0E67A
#Date Time: 2024-11-17 04:07:39.300
#Start: 0.1 Hz
#Stop: 10 Hz
#Steps: 101
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.44249 V
#Offset: -0.000290679 V
#Relative: no
#Channel: Channel 2
#Range: 5.48901 V
#Offset: 0.00015677 V
#Relative: no
#Wavegen Channel 2: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 5 Hz
#Period: 200 ms
#Amplitude: 50 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
0.1,27.17579033924483,0.02225767097590332,-75.85367184766741
0.10471285480509,27.41931722616024,0.007236427613699499,-76.50227735397051
0.1096478196143185,27.74878956555481,0.01335297463588915,-76.4131755121996
0.1148153621496883,28.10634749733833,0.006723137812091461,-76.10478472533724
0.1202264434617413,28.46356892859819,0.005902377117836837,-75.59309274285049
0.1258925411794168,28.8289980758458,0.008564252908957928,-75.07438649447633
0.1318256738556408,29.19044285224329,0.01160038829655745,-74.53970513162558
0.1380384264602885,29.56572252276348,0.03447390601233382,-74.07270051543506
0.1445439770745927,29.92846200130082,0.01169521145979635,-73.41601207850329
0.1513561248436208,30.29519381596366,0.01547471378528251,-72.78141008085336
0.1584893192461113,30.66696976636035,0.01575195249898857,-72.11275381939987
0.165958690743756,31.03311608631901,0.01354788861604061,-71.44932089156333
0.1737800828749375,31.39697262246825,0.01838506455666664,-70.72217573323739
0.1819700858609984,31.76580788681146,0.02445123007848299,-69.9471801491127
0.1905460717963247,32.12262918677539,0.02174125650242091,-69.08550732133455
0.199526231496888,32.4801050721374,0.02221166475359975,-68.20788413226416
0.208929613085404,32.84334455125756,0.01483989035487882,-67.36631192537385
0.2187761623949553,33.19953779947021,0.004285858786298817,-66.41023025112067
0.2290867652767772,33.54200130859865,0.01704285111734698,-65.47420778205583
0.239883291901949,33.89423355164963,0.02105527565293579,-64.44888104565891
0.251188643150958,34.24138875665921,0.004176825099888901,-63.39840785418755
0.2630267991895381,34.58557095428413,0.0281236448753026,-62.3323446194
0.2754228703338166,34.91803657811691,0.02168670876198174,-61.10483319532003
0.2884031503126606,35.25360873331874,0.01131352907711377,-60.02856662151008
0.3019951720402016,35.5846830753961,0.01151535414919337,-58.84664486479713
0.3162277660168379,35.9040096085256,0.009665179612078693,-57.48633580107558
0.3311311214825912,36.21907825025441,0.03106633024366013,-56.09991506315833
0.3467368504525317,36.53620483212003,0.01483707669437176,-54.74009742163168
0.3630780547701014,36.83690276968201,0.02192286473957104,-53.32000898789509
0.3801893963205613,37.14233275514444,0.02818988612975691,-51.83088429192277
0.3981071705534973,37.42836951374216,0.02875269150617947,-50.211106921109
0.4168693834703355,37.71647549681349,0.01507233436930476,-48.65189541655947
0.4365158322401661,37.98771794403849,0.03122279664062641,-46.94004059849858
0.4570881896148752,38.25500969375179,0.0294111026431934,-45.38151160688382
0.4786300923226385,38.51138234568594,0.001016619466714172,-43.6062526374074
0.5011872336272722,38.76753797361404,0.01391841595054669,-41.90585828676524
0.5248074602497725,39.0098965516056,0.01653345329781048,-40.05227085423277
0.5495408738576245,39.23733376474435,-0.0004382742595800231,-38.31692166599269
0.5754399373371569,39.45849449336619,-0.006504345204870954,-36.44033262244607
0.6025595860743578,39.67268379306591,0.004496020976778742,-34.4760085693291
0.6309573444801932,39.85857749575892,-0.007989912687780399,-32.49705921105488
0.6606934480075957,40.04883227440666,-0.006106196931030535,-30.55366435540286
0.6918309709189363,40.22284581078641,0.00697558420356508,-28.4749518220443
0.7244359600749899,40.38841979869328,-0.001014403296032953,-26.48829367478484
0.7585775750291835,40.5382262000527,0.003620229410509769,-24.37370484209465
0.7943282347242814,40.67738824821628,-0.007192421194577394,-22.23851847435611
0.8317637711026709,40.80496103634582,0.01868090422187348,-19.98861414917523
0.8709635899560806,40.91863189560218,0.0005464055920555586,-17.84229039452522
0.9120108393559097,41.01018547528295,0.01172389886132469,-15.68506780955681
0.9549925860214359,41.09599235262142,0.006223988537467049,-13.43957236866819
1,41.16938994731633,0.004111901413777267,-11.20215614096384
1.0471285480509,41.2264540753295,0.008037002945713374,-8.907865480983048
1.096478196143185,41.27575969157004,0.01885783111341846,-6.767126919434588
1.148153621496883,41.30242076134471,0.0003340309346345653,-4.512451852729725
1.202264434617413,41.31721716915608,-0.008728069611450394,-2.225181102653096
1.258925411794168,41.32581245029945,0.01107247087552838,0.2033152354919139
1.318256738556407,41.31872691725597,0.004622172361859242,2.304747799782774
1.380384264602885,41.29862158518166,0.001819415333366908,4.548635863703453
1.445439770745927,41.25650112989255,0.00509781052083312,6.81404584133864
1.513561248436208,41.20453061534361,0.01031207507877599,9.127793944459711
1.584893192461113,41.14203727493985,-0.00123271345448622,11.29439301688562
1.65958690743756,41.06376744013551,-0.0004546210547101017,13.56221256086533
1.737800828749375,40.97813285075937,0.01026228772331198,15.78862330499267
1.819700858609984,40.87082469858932,0.01142901839850937,17.95166024957926
1.905460717963247,40.75842232346275,-0.002066026172207552,20.07980552891206
1.99526231496888,40.62929288568579,0.01656147767297296,22.15423201699494
2.08929613085404,40.4911521648211,0.01785952383448263,24.31032653497802
2.187761623949553,40.33702048142042,0.004915195917418153,26.36189421913149
2.290867652767774,40.166763898721,0.02444038774651604,28.31396966481736
2.39883291901949,39.99876653284466,0.01306267489236244,30.52894463608119
2.51188643150958,39.80550580611241,0.007296163146470597,32.36617480417706
2.630267991895381,39.60584168568579,-0.003496949578056028,34.35694171679889
2.754228703338166,39.40111546504356,0.02632499220053263,36.13742371369132
