#Digilent WaveForms Network Analyzer - Bode
#Device Name: mydevice
#Serial Number: SN:210321AA27F4
#Date Time: 2024-11-14 11:14:17.406
#Start: 0.1 Hz
#Stop: 20 Hz
#Steps: 10
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.46142 V
#Offset: 0.000236066 V
#Relative: no
#Channel: Channel 2
#Range: 5.50467 V
#Offset: 0.000172526 V
#Relative: yes
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: Rdy
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
0.09999999999999998,-0.1046099242694295,-0.2090162250080128,-96.5839151168538
0.1801648230654412,-0.1025109530915251,4.580527282689649,-100.583712404857
0.324593634702017,-0.1152089142511643,9.31945848643506,-107.6695970672012
0.584803547642573,-0.09916102534349144,13.58622503773819,-119.1096631810198
1.053610276890664,-0.1249504568847976,16.87484600743712,-134.6465539245293
1.89823509115937,-0.1178537816489815,18.77021219975852,-150.4082933688678
3.419951893353393,-0.1236917484441051,19.60042451026205,-162.2803292202674
6.161550277583347,-0.1325180586776534,19.90359408404738,-169.9066120138991
11.10094615569623,-0.1334003702757608,20.00959080023686,-174.3149587575196
20,-0.1359105356767358,20.04937851122587,-176.9274713206983
